;id;afavor;n;total;trimestre;perc_governismo
181;1178931;492.0;519.0;95.0;2023-03-31;86.0
182;1178933;373.0;496.0;75.0;2023-03-31;67.0
183;1178934;454.0;548.0;83.0;2023-03-31;83.0
184;1178937;56.0;206.0;27.0;2023-03-31;
185;1178943;185.0;301.0;61.0;2023-03-31;57.0
186;1178946;151.0;497.0;30.0;2023-03-31;63.0
187;1178947;66.0;282.0;23.0;2023-03-31;57.0
188;1178954;221.0;353.0;63.0;2023-03-31;
189;1178963;169.0;486.0;35.0;2023-03-31;60.0
190;1178964;359.0;404.0;89.0;2023-03-31;100.0
191;1178966;149.0;406.0;37.0;2023-03-31;83.0
192;1178970;457.0;475.0;96.0;2023-03-31;100.0
193;1178972;213.0;268.0;79.0;2023-03-31;100.0
194;1178975;309.0;358.0;86.0;2023-03-31;100.0
195;1178983;115.0;552.0;21.0;2023-03-31;43.0
196;1178985;142.0;545.0;26.0;2023-03-31;67.0
197;1178986;559.0;570.0;98.0;2023-03-31;100.0
198;1178987;502.0;521.0;96.0;2023-03-31;100.0
199;1178989;295.0;335.0;88.0;2023-03-31;100.0
200;1178992;378.0;476.0;79.0;2023-03-31;86.0
201;1178993;409.0;530.0;77.0;2023-03-31;75.0
202;1178997;408.0;475.0;86.0;2023-03-31;75.0
203;1179000;112.0;441.0;25.0;2023-03-31;0.0
204;1179001;372.0;442.0;84.0;2023-03-31;100.0
205;1180214;179.0;503.0;36.0;2023-03-31;100.0
206;1188097;589.0;601.0;98.0;2023-03-31;100.0
207;1191923;638.0;658.0;97.0;2023-03-31;100.0
208;1198197;226.0;383.0;59.0;2023-03-31;71.0
209;1198783;437.0;460.0;95.0;2023-03-31;100.0
210;1204351;310.0;549.0;56.0;2023-03-31;86.0
211;1204355;444.0;557.0;80.0;2023-03-31;86.0
212;1204356;478.0;574.0;83.0;2023-03-31;71.0
213;1204358;311.0;428.0;73.0;2023-03-31;100.0
214;1204360;230.0;509.0;45.0;2023-03-31;75.0
215;1204362;74.0;270.0;27.0;2023-03-31;86.0
216;1204364;135.0;461.0;29.0;2023-03-31;57.0
217;1204365;116.0;667.0;17.0;2023-03-31;44.0
218;1204367;95.0;484.0;20.0;2023-03-31;67.0
